Reynolds,AoA,Cl,Cd,Flow_Regime
243487.86774299663,2.4728163693339695,0.23098450012697186,0.01474810890923832,1
571907.1546536522,1.658241924628065,0.21114616397538397,0.012042834907654258,1
447236.5468325009,-1.476921749942799,-0.09664856958359035,0.009943851189391653,1
371235.33599231084,7.14533340202976,0.7222277049843903,0.0658224947419313,1
118930.62505218881,4.532483210172577,0.5826577890737116,0.03067228499284141,0
118916.8765916355,12.314019846480072,1.3439558313020925,0.1651252829384328,1
63107.65893587369,-4.357808390358835,-0.5266382344534778,0.03512043583557978,0
523720.40309171303,7.877358551102526,0.9017367681761913,0.07484047109301915,1
372635.556693629,10.258977570231222,1.1027000558409261,0.12075716944440008,1
433601.36934374593,10.18973138376614,1.1133422518777214,0.12374792528913584,1
41733.161748607396,12.721479341910502,1.3748524044703654,0.17966624501024814,0
582848.6157323368,9.580674856589882,1.0098016670734844,0.10987421946244516,1
504492.3052562404,13.556201232953924,1.5228036666291511,0.2042312130957395,1
151033.29308661743,1.6531319964178293,0.16697113904892447,0.010258285671912653,1
133640.23130804737,5.064188335030861,0.4835178046062152,0.04068122564749679,1
134540.57061645726,-4.718406734342187,-0.48987819236024016,0.035519169389242496,0
203418.07848693652,-4.860848253934176,-0.593330776662924,0.03696385391055803,1
329111.1660303756,-0.19746759096960176,-0.07931775313271955,0.010776773428399212,1
276208.66062600596,-2.983856057218295,-0.2675861216904545,0.020665322259725727,1
196000.6099128839,0.20422735871507225,-0.03742095897832025,0.007580033574247783,1
378756.1499917563,-1.459134109432052,-0.2758342031600432,0.012487097103207494,1
109511.50057166384,-4.429599503227035,-0.45461686744206725,0.029006159235062185,0
196522.44966507435,13.186082928120989,1.4308226296427453,0.19210372446521579,1
238826.25067740426,-4.83553737222217,-0.5411587663959725,0.03568479541341831,1
289959.89100371045,9.721642886741709,1.0503724183414347,0.11281059829270566,1
477550.2979940178,-1.9570422616096694,-0.20303020214129328,0.013305775609483985,1
143814.05583026505,13.244592439992001,1.4147961249757341,0.19610193945416995,1
323113.62989575864,12.855918791797716,1.4836149958124452,0.1834627749631697,1
367676.3042513642,8.078022927385147,0.8120428163869877,0.0794004997319792,1
56476.735250398706,8.444682996012103,0.9483068620921398,0.08734801247284954,0
376300.5655838199,-4.893217160606229,-0.5044952567373397,0.03704262631593695,1
127198.75050175618,14.697431322272042,1.5737711104361616,0.24078188066189288,1
67079.40800160932,12.55665207151629,1.325804261602609,0.17641555500832898,0
570864.7562344,12.90212451460184,1.4657349872942549,0.18570434318668477,1
580410.2588524988,8.184890741017439,0.8480306698545115,0.08282489741768344,1
490786.4884263828,1.8957385730907301,0.1775578003434842,0.01544536700543337,1
203629.84842882128,12.872972981809617,1.4560449014160164,0.18586165355949252,1
